topic_id,blog_id,user_id,topic_type,topic_title,topic_text,topic_tags,topic_date_add,topic_date_edit,topic_user_ip,topic_rating,topic_count_vote_abstain,topic_count_read,topic_count_comment,topic_count_favourite,topic_text_hash,topic_extra
1,3,1,topic,Открытие социальной сети города Темиртау,"Приветствую вас на сайте ВТемиртау.KZ – социальная сеть города Темиртау. Здесь вы сможете найти полезную информацию о городе и не только, пообщаться с темиртаусцами, завести свой блог, или просто почитать блоги других людей. А пока с Новым Блогом, как говорится :)","Втемиртау,сайт,открытие",2010-07-08 19:22:10,2010-09-15 21:35:01,95.57.11.187,1.000,0,2287,0,0,60b3db7e38d5220c2fa2bef5b6e1b45b,"s:0:"""";"
2,4,1,topic,Фотографии обновленного Темиртау,"Вот нашел красивые фотографии города после последних преображений, и решил выложить их сюда. Надеюсь авторы фото не будут против :)<br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/07/13/c376e6.jpg"" title=""Темиртау"" alt=""Темиртау""/><br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/07/13/b21b7f.jpg"" title=""Темиртау"" alt=""Темиртау""/><br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/07/13/a09e0a.jpg"" title=""Темиртау"" alt=""Темиртау""/><br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/07/13/918364.jpg"" title=""Темиртау"" alt=""Темиртау""/><br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/07/13/29e712.jpg"" title=""Темиртау"" alt=""Темиртау""/><br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/07/13/bfa22a.jpg"" title=""Темиртау"" alt=""Темиртау""/><br/>
Вот пока все, если у вас есть еще красивые фото города, то милости просим в это сообщество!","темиртау,фото",2010-07-13 22:56:26,2010-10-09 22:08:30,95.57.16.24,2.000,0,14863,10,2,106faa05d467d4f29709c8018569a64d,"s:0:"""";"
3,3,1,topic,Обезжиривание фонтана в Темиртау,"Забавная шутка или вандализм — вот в чем вопрос :) Хотя какая разница, мое дело десятое, показать видео:<br/>
<object width=""576"" height=""432""><param name=""wmode"" value=""opaque""></param><embed src=""http://v.kiwi.kz/v/f10xfmry1xlg"" type=""application/x-shockwave-flash"" width=""576"" height=""432"" allowfullscreen=""true"" allowscriptaccess=""always"" wmode=""opaque""></embed></object>","видео,фонтан,прикол",2010-07-13 23:20:07,2010-09-15 21:35:13,95.57.16.24,1.000,0,2309,0,0,33d42cd40487f5c0a18d61207f2764c4,"s:0:"""";"
4,1,1,question,Как вам этот сайт?,"Есть идеи что сделать лучше, что изменить и добавить? :)",идеи,2010-07-18 21:02:11,2010-10-21 22:44:05,95.57.31.3,0.000,0,1664,2,0,16d84aea646e33b5caeed3aeb2e069ef,"a:2:{s:7:""answers"";a:3:{i:0;a:2:{s:4:""text"";s:12:""хорошо"";s:5:""count"";i:6;}i:1;a:2:{s:4:""text"";s:12:""средне"";s:5:""count"";i:0;}i:2;a:2:{s:4:""text"";s:10:""плохо"";s:5:""count"";i:0;}}s:10:""count_vote"";i:6;}"
5,3,1,question,Нужна ли Темиртау своя социальная сеть?,"Просто представьте, что все жители Темиртау на одном сайте смогут узнавать последние новости города, знать где и что купить подешевле и лучше, общаться с представителями фирм города или городской администрации, покупать-продавать товары, смотреть видео сюжеты и фотографии города.","втемиртау,опрос",2010-07-18 21:20:44,2011-10-11 13:07:15,95.57.31.3,3.000,0,1858,0,0,4647d33406c8c6a4be95746b6a14c79a,"a:2:{s:7:""answers"";a:2:{i:0;a:2:{s:4:""text"";s:10:""нужна"";s:5:""count"";i:10;}i:1;a:2:{s:4:""text"";s:15:""не нужна"";s:5:""count"";i:1;}}s:10:""count_vote"";i:11;}"
6,3,1,topic,Погода в Темиртау,"Для того чтобы узнать прогноз погоды, приходится чаще всего лезть в гугл или яндекс и набивать запросы вроде «погода в Темиртау» или «прогноз погоды темиртау». При этом выдается куча ссылок, по которым не всегда есть то что нужно, кроме того, если там оказывается прогноз погоды и именно для Темиртау, то все эти прогнозы меж собой разнятся. Для того, чтобы проще было ориентироваться среди всех ресурсов предлагающих прогноз погоды, я и сделал такую страничку: <noindex><a href=""http://pogoda.vtemirtau.kz/"" rel=""nofollow"">Погода в Темиртау</a></noindex>. На нем собраны информеры погоды из разных источников и на их основе можно более реально оценить какая погода ожидается на завтрашний день. В общем если вам нужен прогноз погоды для нашего города, смотрите на сайте <noindex><a href=""http://pogoda.vtemirtau.kz/"" rel=""nofollow"">Погода в Темиртау</a></noindex>","погода,темиртау,сайт",2010-07-20 22:32:34,2010-09-15 21:35:32,89.218.104.74,1.000,0,3878,0,0,a70ebac6d7325d6ca522989aaa6005be,"s:0:"""";"
7,3,1,topic,Сколько зарабатывают темиртаусцы,"Эта статья перепечатана с последнего номера вечерней газеты, и честно-говоря со статьей я не согласен. Думаю, что несогласны с ней и многие темиртаусцы, вот и появляется возможность поспорить и даже поругать неправдивых журналистов и всех остальных.<br/>
<br/>
<blockquote>За последние полгода доходы темиртаусцев снизились, однако на общем благосостоянии граждан это мало отразилось. Согласно официальным данным, предоставленным городским управлением статистики, на данный момент среднедушевой доход каждого жителя нашего города, независимо от возраста и социального положения, превышает 48 тысяч тенге.<br/>
</blockquote> <br/>
Уже здесь можно поспорить, я бы даже сказал что нужно. Это что получается, что пенсионеры у нас получают пенсию свыше 48 тысяч? Нет, я конечно понимаю, что если голову засунуть в духовку, а ноги в морозилку, то средняя температура будет довольно комфортная, но не до такой же степени?.. Ладно продолжаем чтение<br/>
<blockquote><b>Соотношение среднемесячной<br/>
номинальной зарплаты с минимальной зарплатой<br/>
и прожиточным минимумом</b><br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/07/28/ac552e.gif""/><br/>
Как поясняют темиртауские статистики, важным социальным индикатором, характеризующим покупательскую способность номинальной заработной платы с учетом изменений потребительских цен на товары и услуги, является индекс реальной заработной платы. Снижение номинальной заработной платы за май 2010 года по сравнению с апрелем 2010 года на 13,3% при росте цен за этот период на 0,7% привело к снижению реальной заработной платы на 13,9%.<br/>
Безусловно, столь большая сумма может многих удивить. Тем более если учитывать, что уровень безработицы в городе металлургов за последний год только вырос. По состоянию на июнь, один из 20 работоспособных жителей Темиртау не имел постоянного места работы. На общую картину благополучия, уверяют местные статистики, повлияло занятое население. Те жители города, кто имеет постоянный источник заработка, получают с каждым годом все большую зарплату.<br/>
 — В мае 2010 года среднемесячная номинальная заработная плата одного темиртауского работника составила 82 691 тенге, — уверяет начальник темиртауского управления статистики Айгуль Бегимова. — В сравнении с соответствующим месяцем прошлого года она увеличилась на 12,6%.</blockquote>Вот значит кто во всем виновен. Ну-ну. Не удивлюсь, что обвинят во всем металлургов. А вот и они родимые:<br/>
<blockquote>Согласно официальным данным, самую большую заработную плату получают работники промышленности. В нашем городе это в основном металлурги. В среднем работник предприятия «АрселорМиттал Темиртау» имеет около 100 тысяч тенге в месяц (<i>ложь, пиздеж и провокация!</i>). Однако именно в этой отрасли в последнее время рост доходов самый низкий. Но тем не менее за последний год работникам промышленности стали платить на 13% больше (<i>ага, и тут же ниже статья как индусы не хотят платить индексацию</i>).<br/>
А вот наибольший рост зарплаты статистики отметили у работников научной и технической деятельности. Сейчас эти отрасли в стране активно развиваются. Не последним фактором является и заработная плата. Она выросла за последний год в два раза и сейчас составляет без малого 95 тысяч в месяц. (<i>снова враки</i>)<br/>
А вот меньше всего, по статистике, получают работники, связанные с информационной деятельностью, а также связью. Средний размер оплаты труда у них не доходит и до 20 тысяч тенге в месяц (<i>опять что-то не сходится. просто вспоминаю скандал с директором казактелекома...</i>).<br/>
На их фоне бюджетники получают весьма неплохие деньги. Учителя и врачи, которые традиционно воспринимаются как обделенный слой, по официальным данным, получают в 2-2,5 раза больше, чем связисты.<br/>
Кстати, зарплата специалистов, работающих в области здравоохранения и образования, по официальным данным, лишь немного отстает от оплаты труда сотрудников государственных учреждений. Не секрет, что для большей части жителей города слова «госслужащий» и «богач» синонимы. Но на самом деле их усредненная официальная зарплата — около 61 с половиной тысячи тенге, что на 20 тысяч ниже среднестатистической </blockquote>Вспомнился анекдот на эту тему, когда молодому гаишнику говорят чтобы зашел в кассу и забрал зарплату за полгода. Гаишник с удивлением спросил: «А что здесь еще и зарплату получают? Я-то думал дали палку полосатую и крутись как хочешь» :) Кстати про то что гаишники целый год как получают зарплату свыше 150 тысяч, почему-то не говорится…<br/>
<blockquote>Такие цифры могут показаться несоответствующими действительности. Однако в городском управлении по статистике уверяют, что отчеты о средней зарплате им предоставляют сами руководители организаций и предприятий. Поэтому все сомнения по поводу достоверности этих данных в первую очередь стоит выражать именно им.<br/>
 — Это ежемесячный вид отчетности, называется «Отчет по труду», — поясняет Айгуль Бегимова. — Его сдают все крупные, средние и малые предприятия. В их число не входят те, кто занимается предпринимательской деятельностью, такие, например, как городские кафе, парикмахерские, мелкие магазины.<br/>
В итоге получается, что среднестатистический темиртауский работник получает за свой труд в 5,5 раза больше установленной законодательством минимальной зарплаты. Более того, прожиточный минимум в Темиртау почти в 6,5 раза ниже, чем среднемесячный доход работающего горожанина. Так что бедными темиртаусцев назвать трудно.</blockquote>Все это написала Лидия Фролова — журналист Вечерней газеты. Все это в большинстве своем бред, но вот с последней фразой тяжело не согласиться: иной раз посмотришь на каких машинах катаются темиртаусцы, то и диву даешься, откуда столько денег. Как бы то ни было некоторые поговаривают, что нехорошо считать чужие деньги, оно и правильно, тут бы свои сосчитать, как до зарплаты еще пару недель протянуть :)","зарплата,темиртау,вечерняя газета",2010-07-28 22:15:05,2010-09-15 21:35:40,95.57.36.13,1.000,0,5118,4,0,e7aa4014e8a4647e5d8b281725a88064,"s:0:"""";"
8,9,1,topic,Магазин в Темиртау,"Поздравляю всех с открытием первого интернет магазина созданного специально для нашего города: <noindex><a href=""http://magazin.vtemirtau.kz/"" rel=""nofollow"">Магазин в Темиртау</a></noindex>! Пока на данный момент ассортимент магазина не очень велик, если не сказать большего — очень мал, но зато товары представленные в нем найти в городе практически невозможно. В скором времени ассортимент будет естественно пополняться, возможно даже подтянуться крупные магазины для расширения своего бизнеса.<br/>
Вот в принципе и вся новость. На данный момент в магазине можно купить <noindex><a href=""http://magazin.vtemirtau.kz/index.php?route=product/product&amp;product_id=49"" rel=""nofollow"">электронный безмен</a></noindex> и <noindex><a href=""http://magazin.vtemirtau.kz/index.php?route=product/product&amp;product_id=50"" rel=""nofollow"">3D стерео очки</a></noindex>. Налетайте! :)","магазин,сайт",2010-07-29 22:24:32,2010-09-15 21:35:46,95.57.26.132,1.000,0,2394,2,1,cce051774422ff99eb85442766c7ef39,"s:0:"""";"
9,12,1,topic,Книги Кинга или книгообмен по-темиртауски,"Уважаемые темиртаусцы! Если есть среди вас любители творчества Стивена Кинга и обладатели его книг, то у меня большая просьба к вам, напишите, пожалуйста, в комментариях, можете ли вы на время дать мне почитать Темную башню, Оно и Долгую прогулку. Если есть и другие книги, то я был бы тоже не прочь почитать и их. <br/>
У меня тоже есть пара старых книжек Кинга (сейчас и не вспомню какие, но если надо, то напишу позже), поэтому если что, тоже обращайтесь!<br/>
Кстати как вам идея такого книгообмена через сайт, насколько это может быть интересно и полезно? Пишите, комментируйте, не стесняйтесь!","книги,Кинг,книгообмен",2010-08-29 21:45:33,2010-09-15 21:35:55,95.57.25.71,1.000,0,1730,0,0,1df66e16ed836393c7926d58157bae8f,"s:0:"""";"
10,3,1,topic,Акция!,"Уважаемые темиртаусцы! Сейчас в магазине «Мобилка» (перекресток Республики и Калинина) проходит акция: телефоны ZTE вместе с номером Pathword продаются по 3000 тенге. На счету есть уже 750 тенге. Торопитесь, как говорится, потому что количество товара ограничено :) Кстати для регистрации не забудьте копию удостоверения и РНН. <br/>
Я себе по такой акции уже купил телефон, доволен им как слон :) Посмотреть <noindex><a href=""http://blogof.net/2010/obzor-telefona-zte-c-s100/"" rel=""nofollow"">обзор телефона</a></noindex> можно в моем блоге.<br/>
По просьбе пользователя stasyn_93 добавил схему проезда.<br/>
<img src=""http://vtemirtau.kz/uploads/images/00/00/01/2010/09/15/cbc364.png""/><br/>
Акция продлится до конца сентября, но завоз новых телефонов происходит не часто, на акцию выстраиваются большие очереди, поэтому мне остается пожелать лишь удачи!","акция,телефон,Алтел,Pathword",2010-09-03 21:04:37,2010-09-15 21:36:01,95.57.39.131,2.000,0,2185,6,0,5547477011c957f23b8a5c59364a20fd,"s:0:"""";"
